,topic_id,words
0,0,"0.090*""effect"" + 0.083*""side"" + 0.056*""vaccineinjury"" + 0.043*""lawsuit"" + 0.042*""thank"" + 0.042*""available"" + 0.035*""hpvawareness"" + 0.035*""lawyer"" + 0.029*""truth"" + 0.029*""cdc"""
1,1,"0.052*""merck"" + 0.045*""year"" + 0.040*""woman"" + 0.033*""cause"" + 0.032*""autoimmune"" + 0.032*""condition"" + 0.028*""girl"" + 0.027*""die"" + 0.027*""many"" + 0.024*""child"""
2,2,"0.073*""fda"" + 0.064*""girl"" + 0.056*""get"" + 0.041*""injure"" + 0.038*""say"" + 0.038*""one"" + 0.031*""make"" + 0.030*""vaccinate"" + 0.030*""merck"" + 0.029*""find"""
3,3,"0.072*""injury"" + 0.046*""death"" + 0.037*""cervical"" + 0.037*""read"" + 0.033*""case"" + 0.033*""macron"" + 0.033*""increase"" + 0.033*""doctor"" + 0.032*""prevent"" + 0.031*""trial"""
4,4,"0.086*""merck"" + 0.054*""know"" + 0.050*""science"" + 0.044*""cause"" + 0.037*""sue"" + 0.034*""informedconsent"" + 0.031*""death"" + 0.027*""show"" + 0.027*""parent"" + 0.027*""lawsuit"""
