,topic_id,words
0,0,"0.062*""fille"" + 0.052*""merck"" + 0.046*""contre"" + 0.037*""garáon"" + 0.033*""cancer"" + 0.029*""indèsirable"" + 0.027*""ètè"" + 0.027*""inefficace"" + 0.026*""vaccinez"" + 0.022*""donnèes"" + 0.021*""dangereu"" + 0.020*""injection"" + 0.017*""peur"" + 0.016*""vouloir"" + 0.016*""tout"" + 0.015*""vraiment"" + 0.015*""mise"" + 0.014*""cas"" + 0.014*""chez"" + 0.013*""mèdecin"" + 0.013*""an"" + 0.013*""levothyrox"" + 0.012*""depuis"" + 0.012*""bon"" + 0.012*""connaître"" + 0.011*""pseudo"" + 0.011*""peu"" + 0.011*""trës"" + 0.010*""obligatoire"" + 0.010*""rappel"""
1,1,"0.052*""enfant"" + 0.039*""faire"" + 0.030*""vouloir"" + 0.029*""plus"" + 0.024*""tout"" + 0.024*""míme"" + 0.023*""macron"" + 0.023*""dire"" + 0.019*""sans"" + 0.019*""non"" + 0.018*""covid"" + 0.017*""ce"" + 0.017*""cíest"" + 0.016*""an"" + 0.016*""santè"" + 0.014*""mèdecin"" + 0.014*""mensonge"" + 0.014*""article"" + 0.014*""aprë"" + 0.014*""parent"" + 0.013*""effetssecondaire"" + 0.012*""avant"" + 0.012*""fois"" + 0.011*""risque"" + 0.010*""ítre"" + 0.010*""pourquoi"" + 0.010*""petit"" + 0.010*""donc"" + 0.010*""jeune"" + 0.010*""merci"""
2,2,"0.050*""macron"" + 0.045*""contre"" + 0.035*""vacciner"" + 0.033*""merck"" + 0.033*""faire"" + 0.028*""cancer"" + 0.028*""enfant"" + 0.028*""procë"" + 0.026*""tout"" + 0.023*""aussi"" + 0.022*""france"" + 0.019*""bien"" + 0.018*""bon"" + 0.018*""col"" + 0.016*""falloir"" + 0.015*""quand"" + 0.015*""raoult"" + 0.015*""èter"" + 0.014*""autre"" + 0.013*""user"" + 0.013*""corruption"" + 0.013*""ce"" + 0.013*""scandale"" + 0.013*""promotion"" + 0.012*""parent"" + 0.012*""pfizer"" + 0.012*""vrp"" + 0.010*""venir"" + 0.010*""masse"" + 0.009*""bigpharma"""
3,3,"0.068*""comme"" + 0.055*""contre"" + 0.048*""danger"" + 0.045*""collëge"" + 0.045*""ado"" + 0.043*""nouveau"" + 0.043*""inefficace"" + 0.042*""dangereu"" + 0.038*""jarnac"" + 0.034*""macron"" + 0.033*""gouvernement"" + 0.031*""antiva"" + 0.031*""rentrèe"" + 0.031*""favoriser"" + 0.031*""pouss"" + 0.028*""virus"" + 0.028*""via"" + 0.028*""protegeonsnosenfant"" + 0.016*""gibertiepatrice"" + 0.016*""jour"" + 0.013*""sèance"" + 0.013*""braun"" + 0.011*""cancer"" + 0.011*""ami"" + 0.010*""anti"" + 0.010*""confiance"" + 0.009*""rappel"" + 0.009*""donnèes"" + 0.009*""bien"" + 0.009*""permettre"""
4,4,"0.111*""effet"" + 0.111*""secondaire"" + 0.074*""grave"" + 0.039*""obligatoire"" + 0.035*""dècë"" + 0.034*""contre"" + 0.032*""nourrisson"" + 0.032*""adjuvant"" + 0.030*""provoqu"" + 0.027*""causès"" + 0.020*""loi"" + 0.018*""buzyn"" + 0.017*""agnës"" + 0.015*""pays"" + 0.014*""temps"" + 0.013*""user"" + 0.013*""plainte"" + 0.012*""procë"" + 0.012*""cours"" + 0.011*""va"" + 0.010*""crime"" + 0.010*""provoquer"" + 0.010*""immèdiat"" + 0.010*""míme"" + 0.010*""injectè"" + 0.010*""covid"" + 0.009*""propos"" + 0.009*""jeune"" + 0.009*""appeler"" + 0.009*""dèposèe"""
