X;created_at;full_text;likes_count;mentioning_users.0;mentioning_users.1;mentioning_users.2;mentioning_users.3;mentioning_users.4;mentioning_users.5;mentioning_users.6;mentioning_users.7;mentioning_users.8;mentioning_users.9;mentioning_users.10;mentioning_users.11;mentioning_users.12;mentioning_users.13;mentioning_users.14;mentioning_users.15;played_count;quotes_count;replies_count;replying_to.0;replying_to.1;replying_to.2;replying_to.3;replying_to.4;replying_to.5;replying_to.6;replying_to.7;replying_to.8;replying_to.9;replying_to.10;replying_to.11;replying_to.12;replying_to.13;replying_to.14;replying_to.15;replying_to.16;replying_to.17;replying_to.18;replying_to.19;replying_to.20;replying_to.21;replying_to.22;replying_to.23;replying_to.24;replying_to.25;replying_to.26;replying_to.27;replying_to.28;replying_to.29;replying_to.30;replying_to.31;replying_to.32;replying_to.33;replying_to.34;replying_to.35;replying_to.36;replying_to.37;replying_to.38;replying_to.39;replying_to.40;replying_to.41;replying_to.42;replying_to.43;replying_to.44;replying_to.45;replying_to.46;replying_to.47;retweeted_by;retweets_count;tweet_hashtags.0;tweet_hashtags.1;tweet_hashtags.2;tweet_hashtags.3;tweet_hashtags.4;tweet_hashtags.5;tweet_hashtags.6;tweet_hashtags.7;tweet_hashtags.8;tweet_hashtags.9;tweet_hashtags.10;tweet_hashtags.11;tweet_hashtags.12;tweet_hashtags.13;tweet_hashtags.14;tweet_hashtags.15;tweet_hashtags.16;tweet_hashtags.17;tweet_hashtags.18;tweet_hashtags.19;tweet_hashtags.20;tweet_hashtags.21;tweet_hashtags.22;tweet_hashtags.23;tweet_id;tweet_links.0;tweet_links.1;tweet_links.2;tweet_links.3;;user_is_verified;user_name;language;engagement;sentiment_scores;positive;neutral;negative;compound;sentiment_label
36;Fri May 12 19:54:00 +00:00 2023;may womens healthcare month one step woman people uterus take protect health get hpv vaccine get regular pap test hpv gardasil hpvvaccineeducation cancerprevention;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#hpv;#gardasil;#hpvvaccineeducation;#cancerprevention;;;;;;;;;;;;;;;;;;;;;1.6571119106454856e+18;;;;;;FALSE;5cfc7d9b;en;0;{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.3818};106;894;0.0;0.3818;Positive
38;Wed Aug 30 17:37:00 +00:00 2023;ni injection informezvous gardasil cervarix nevousconformezpas;8;;;;;;;;;;;;;;;;;0;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;6;#InformezVous;#Gardasil;#Cervarix;#NeVousConformezPas;;;;;;;;;;;;;;;;;;;;;1.6969402501849623e+18;;;;;;FALSE;a7587ab3;en;15;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
46;Fri Aug 04 21:00:00 +00:00 2023;experiencing heartproblems ovariancysts etc gardasil hpv vaccine shelby thomson created world first unvaccinateddating site join faithfulfreedom teryn gregson discus full eprumblecomvetunvaccina;6;7110b295;f06f231a;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;3;#heartproblems,;#ovariancysts;#Gardasil;#HPV;#vaccine,;#unvaccinateddating;#FaithfulFreedom;;;;;;;;;;;;;;;;;;1.687569098115367e+18;https://rumble.com/v34e65t-unvaccinated-dating-breastmilk-and-blood-donations.-parental-rifts-over-vax.html;;;;;FALSE;4d6af5c1;en;9;{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.4939};181;819;0.0;0.4939;Positive
53;Sat May 06 09:54:00 +00:00 2023;merckco worldwide sale gardasil usd q stoncologycomblogqqu;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Merck&Co;#GARDASIL;;;;;;;;;;;;;;;;;;;;;;;1.654786726131368e+18;https://www.1stoncology.com/blog/10-q-quarterly-report-sections-1315d1234631081;;;;;FALSE;6d289c6d;en;0;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
69;Sun Apr 30 10:32:00 +00:00 2023;merck beat firstquarter expectation keytruda gardasil strength merck mercknews cancer financialresults keytruda gardasil hpvvaccine molnupiravir lagevrio qresults medicaldialoguesinnewsind;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Merck;#Mercknews;#cancer;#financialresults;#keytruda;#Gardasil;#HPVvaccine;#molnupiravir;#Lagevrio;#q1results;;;;;;;;;;;;;;;1.652621877494567e+18;https://medicaldialogues.in/news/industry/pharma/merck-beats-first-quarter-expectations-on-keytruda-gardasil-strength-110740?utm_campaign=pubshare&utm_source=Twitter&utm_medium=3246541758&utm_content=scheduled-link&utm_id=212;;;;;TRUE;18a0009c;en;0;{'neg': 0.186, 'neu': 0.678, 'pos': 0.136, 'compound': -0.296};136;678;186;-296;Negative
75;Wed Jun 07 17:53:00 +00:00 2023;thats zuckerberg wife priscilla chan pediatrician back needle car vaxxedii harm gardasil vaccine caused child political cartoon way covid he known bread buttered long ago;4;;;;;;;;;;;;;;;;;0;0;0;2116620a;e6993826;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;#VaxxedII;#gardasil;;;;;;;;;;;;;;;;;;;;;;;1.666503660132606e+18;;;;;;FALSE;8069e7af;en;6;{'neg': 0.127, 'neu': 0.873, 'pos': 0.0, 'compound': -0.5423};0.0;873;127;-0.5423;Negative
78;Fri May 26 06:31:00 +00:00 2023;prevent hpv gardasil three separate dos needed age available theshotnurse preventhpv gardasil vaccinate;1;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#TheShotNurse.;#PreventHPV;#Gardasil;#Vaccinate;;;;;;;;;;;;;;;;;;;;;1.6619833179383887e+18;;;;;;FALSE;920fb328;en;1;{'neg': 0.0, 'neu': 0.916, 'pos': 0.084, 'compound': 0.0258};84;916;0.0;0.0258;Neutral
81;Wed Mar 29 13:55:00 +00:00 2023;gardasil vkcomwall;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;;1.641076571678167e+18;https://vk.com/wall684461573_2307;;;;;FALSE;c6992b0f;en;0;{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0};0.0;1.0;0.0;0.0;Neutral
82;Sun May 28 22:45:00 +00:00 2023;mfacebookcomstoryphpstothe gardasil shot remember marketed safe effective encouraged kid woman men age prevent prevalent strain human papilloma virus genital wart supposedly say cause cervical cancer cause cervical cancer neurological injury infertility among thing go childrenshealthdefenseorgn find safe effective vaccine deadly yet fda pulled vaccine u market killed injured ten thousand people fda approved grandparent vaccine gardasil market vax safe effective like first one sold world annual death cervical cancer u people death rate gardasils clinical trial x death cervical cancer addition dramatically affect fertility trial gardasil gardasil showed miscarriage rate respectively contain polysorbate borax two chemical known cause infertility animal used deadly chemical neurotoxic aluminum adjuvant called aahs trial gardasil called placebo placebo supposed saline exercise something harm guess used placebo gardasil trial used first gardasil shot pulled u market death injury called placebo doctor read study read summary study often doesnt even get close matching data ie pfizer tried keep mrna gene therapy shot pfizertrial hidden confidential year think pfizer trial data show miscarriage rate totally safe effective course billgates heavily involved funding trial manipulation marketing via center global development worked closely ccp cgdevorgbloggatesfundsn biggest donor center global development thebillandmelindagatesfoundation course cfgd founded accomplish un agenda say clearly website via page go principledpracticecomblog understand true history cdc nih wakeupamerica luciferian depopulation billgatesisevil newworldorder merck medicalfraud healthcaredeaths antivaxxer rn vaccinesafetyadvocate learned ushealthcare industry heavily corrupted health life often priority sarah lawton rn bsn ccm;8;;;;;;;;;;;;;;;;;0;2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2;#Gardasil;#Pfizertrial;#BillGates;#CCP;#WHO.;#TheBillandMelindaGatesFoundation,;#UN2030;#CDC;#NIH.;#WakeUpAmerica;#luciferian;#depopulation;#billgatesisevil;#NewWorldOrder;#Merck;#MedicalFraud;#healthcaredeaths;#vaccinesafetyadvocate,;#ushealthcare;;;;;;1.662953328186204e+18;https://m.facebook.com/story.php?story_fbid=pfbid02jAbEGgK9JnLNgVNBLtzkzVGuR16xXw4u8GfCMCkdb53CrZnSXVoGR7wqEHrQUCCSl&id=1788567372&sfnsn=mo&mibextid=6aamW6;http://childrenshealthdefense.org/news/25-reasons-to-avoid-the-gardasil-vaccine/;http://Cgdev.org/blog/gates-funds-new-hpv-vaccine-program-path;http://principled-practice.com/blog;;TRUE;70b79133;en;12;{'neg': 0.179, 'neu': 0.673, 'pos': 0.148, 'compound': -0.936};148;673;179;-936;Negative
83;Sat Apr 22 15:46:00 +00:00 2023;rfkjr gardasil many thing im going say today would slanderous true theyre true merck sue merck wont wont bkz u truth absolute defense slander childrenshealthdefenseorgn;0;;;;;;;;;;;;;;;;;0;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;#RFKJr.,;#Gardasil;;;;;;;;;;;;;;;;;;;;;;;1.6498018743657185e+18;https://childrenshealthdefense.org/news/25-reasons-to-avoid-the-gardasil-vaccine/;;;;;FALSE;c174c064;en;0;{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.779};306;694;0.0;779;Positive
