X,created_at,full_text,likes_count,mentioning_users.0,mentioning_users.1,mentioning_users.2,mentioning_users.3,mentioning_users.4,mentioning_users.5,mentioning_users.6,mentioning_users.7,mentioning_users.8,mentioning_users.9,mentioning_users.10,mentioning_users.11,mentioning_users.12,mentioning_users.13,mentioning_users.14,mentioning_users.15,played_count,quotes_count,replies_count,replying_to.0,replying_to.1,replying_to.2,replying_to.3,replying_to.4,replying_to.5,replying_to.6,replying_to.7,replying_to.8,replying_to.9,replying_to.10,replying_to.11,replying_to.12,replying_to.13,replying_to.14,replying_to.15,replying_to.16,replying_to.17,replying_to.18,replying_to.19,replying_to.20,replying_to.21,replying_to.22,replying_to.23,replying_to.24,replying_to.25,replying_to.26,replying_to.27,replying_to.28,replying_to.29,replying_to.30,replying_to.31,replying_to.32,replying_to.33,replying_to.34,replying_to.35,replying_to.36,replying_to.37,replying_to.38,replying_to.39,replying_to.40,replying_to.41,replying_to.42,replying_to.43,replying_to.44,replying_to.45,replying_to.46,replying_to.47,retweeted_by,retweets_count,tweet_hashtags.0,tweet_hashtags.1,tweet_hashtags.2,tweet_hashtags.3,tweet_hashtags.4,tweet_hashtags.5,tweet_hashtags.6,tweet_hashtags.7,tweet_hashtags.8,tweet_hashtags.9,tweet_hashtags.10,tweet_hashtags.11,tweet_hashtags.12,tweet_hashtags.13,tweet_hashtags.14,tweet_hashtags.15,tweet_hashtags.16,tweet_hashtags.17,tweet_hashtags.18,tweet_hashtags.19,tweet_hashtags.20,tweet_hashtags.21,tweet_hashtags.22,tweet_hashtags.23,tweet_id,tweet_links.0,tweet_links.1,tweet_links.2,tweet_links.3,url,user_is_verified,user_name,language,engagement,sentiment_scores,positive,neutral,negative,compound,sentiment_label
201,Tue Jul 11 10:58:00 +00:00 2023,,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#HPV,#Gardasil,#vaccination,,,,,,,,,,,,,,,,,,,,,,1.678720493237551e+18,,,,,https://twitter.com/imclaire51/status/1678720493237551106,False,16cac2ea,it,0,"{'positive': 0, 'neutral': 0.5, 'negative': 0.5, 'compound': -0.5, 'sentiment_label': 'Negative'}",0.0,0.5,0.5,-0.5,Negative
204,Tue Jul 11 07:31:00 +00:00 2023,poizon,3,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1.678668298760647e+18,,,,,https://twitter.com/Hell3June/status/1678668298760646656,False,f0dad914,it,4,"{'positive': 0, 'neutral': 1, 'negative': 0, 'compound': 0.0, 'sentiment_label': 'Neutral'}",0.0,1.0,0.0,0.0,Neutral
211,Mon Mar 27 15:54:00 +00:00 2023,disastroso il bilancio dei risultati del vaccino il tasso di mortalit negli studi clinici sul gardasil era di ovvero volta quello del cancro cervicalema la fda ne spinge lutilizzo childrenshealthdefenseorgn,83,,,,,,,,,,,,,,,,,0,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,#Gardasil.,,,,,,,,,,,,,,,,,,,,,,,,1.6403816947997532e+18,https://childrenshealthdefense.org/news/25-raisons-deviter-le-vaccin-gardasil/?lang=fr,,,,https://twitter.com/BarbaraRaval/status/1640381694799753218,False,843cb078,it,150,"{'positive': 0, 'neutral': 0.0, 'negative': 1.0, 'compound': -1.0, 'sentiment_label': 'Negative'}",0.0,0.0,1.0,-1.0,Negative
219,Sat Jul 01 06:28:00 +00:00 2023,poizon,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1.6750285997814252e+18,,,,,https://twitter.com/Hell3June/status/1675028599781425153,False,f0dad914,it,0,"{'positive': 0, 'neutral': 1, 'negative': 0, 'compound': 0.0, 'sentiment_label': 'Neutral'}",0.0,1.0,0.0,0.0,Neutral
223,Sun Apr 16 22:18:00 +00:00 2023,transparence,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#France,#vaccin,#gardasil,,,,,,,,,,,,,,,,,,,,,,1.647726104268923e+18,,,,,https://twitter.com/dommajeur/status/1647726104268922880,False,537f5f40,it,0,"{'positive': 1.0, 'neutral': 0.0, 'negative': 0, 'compound': 1.0, 'sentiment_label': 'Positive'}",1.0,0.0,0.0,1.0,Positive
238,Sun Apr 16 14:11:00 +00:00 2023,poipoi son,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,,1.647603543493206e+18,,,,,https://twitter.com/Hell3June/status/1647603543493206016,False,f0dad914,it,0,"{'positive': 0, 'neutral': 1, 'negative': 0, 'compound': 0.0, 'sentiment_label': 'Neutral'}",0.0,1.0,0.0,0.0,Neutral
240,Sat Mar 25 17:43:00 +00:00 2023,poison,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,1.6396845455102444e+18,,,,,https://twitter.com/Hell3June/status/1639684545510244353,False,f0dad914,it,0,"{'positive': 0, 'neutral': 0.0, 'negative': 1.0, 'compound': -1.0, 'sentiment_label': 'Negative'}",0.0,0.0,1.0,-1.0,Negative
241,Sun Apr 16 13:39:00 +00:00 2023,,0,,,,,,,,,,,,,,,,,0,0,0,939f14c7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#VAERS,#vaccineinjury,#VaccineDeath,#Covidvaccination,#CovidVaccine,#flu,#gardasil,,,,,,,,,,,,,,,,,,1.6475956732969615e+18,,,,,https://twitter.com/GardasilNews/status/1647595673296961538,False,6f4cf129,it,0,"{'positive': 0, 'neutral': 0.5, 'negative': 0.5, 'compound': -0.5, 'sentiment_label': 'Negative'}",0.0,0.5,0.5,-0.5,Negative
249,Sat Mar 25 06:35:00 +00:00 2023,poison,0,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#gardasil,#Gardasil,#GARDASIL.,,,,,,,,,,,,,,,,,,,,,,1.6395162251253596e+18,,,,,https://twitter.com/Hell3June/status/1639516225125359616,False,f0dad914,it,0,"{'positive': 0, 'neutral': 0.0, 'negative': 1.0, 'compound': -1.0, 'sentiment_label': 'Negative'}",0.0,0.0,1.0,-1.0,Negative
278,Wed Mar 15 07:46:00 +00:00 2023,poison,1,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,#Gardasil,#gardasil,#GARDASIL,,,,,,,,,,,,,,,,,,,,,,1.635910269921534e+18,,,,,https://twitter.com/Hell3June/status/1635910269921533952,False,f0dad914,it,1,"{'positive': 0, 'neutral': 0.0, 'negative': 1.0, 'compound': -1.0, 'sentiment_label': 'Negative'}",0.0,0.0,1.0,-1.0,Negative
