,created_at,full_text,likes_count,mentioning_users/0,mentioning_users/1,mentioning_users/2,mentioning_users/3,mentioning_users/4,mentioning_users/5,mentioning_users/6,mentioning_users/7,mentioning_users/8,mentioning_users/9,mentioning_users/10,mentioning_users/11,mentioning_users/12,mentioning_users/13,mentioning_users/14,mentioning_users/15,played_count,quotes_count,replies_count,replying_to/0,replying_to/1,replying_to/2,replying_to/3,replying_to/4,replying_to/5,replying_to/6,replying_to/7,replying_to/8,replying_to/9,replying_to/10,replying_to/11,replying_to/12,replying_to/13,replying_to/14,replying_to/15,replying_to/16,replying_to/17,replying_to/18,replying_to/19,replying_to/20,replying_to/21,replying_to/22,replying_to/23,replying_to/24,replying_to/25,replying_to/26,replying_to/27,replying_to/28,replying_to/29,replying_to/30,replying_to/31,replying_to/32,replying_to/33,replying_to/34,replying_to/35,replying_to/36,replying_to/37,replying_to/38,replying_to/39,replying_to/40,replying_to/41,replying_to/42,replying_to/43,replying_to/44,replying_to/45,replying_to/46,replying_to/47,retweeted_by,retweets_count,tweet_hashtags/0,tweet_hashtags/1,tweet_hashtags/2,tweet_hashtags/3,tweet_hashtags/4,tweet_hashtags/5,tweet_hashtags/6,tweet_hashtags/7,tweet_hashtags/8,tweet_hashtags/9,tweet_hashtags/10,tweet_hashtags/11,tweet_hashtags/12,tweet_hashtags/13,tweet_hashtags/14,tweet_hashtags/15,tweet_hashtags/16,tweet_hashtags/17,tweet_hashtags/18,tweet_hashtags/19,tweet_hashtags/20,tweet_hashtags/21,tweet_hashtags/22,tweet_hashtags/23,tweet_id,tweet_links/0,tweet_links/1,tweet_links/2,tweet_links/3,url,user_is_verified,user_name,language
3243,Tue Jun 27 22:16:00 +00:00 2023,"And allegedly after tonight MATT. Sometime in the very very near future. ""  ìMatthew John David Hancock.î  ""You are going to thoroughly deserve living the rest of your LIFE in prison. #WEF #Agenda2030 #NetZero #DepopulationAgenda",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#WEF,#Agenda2030,#NetZero,#DepopulationAgenda,,,,,,,,,,,,,,,,,,,,,1673817491179466753,,,,,https://twitter.com/arhselk/status/1673817491179466753,true,6cb3a62e,en
3348,Sun Jun 25 23:02:00 +00:00 2023,"""""Important to note"""""""" that it has no impact whatsoever, Elon... "" ""#ClimateScam #ClimateAgenda #ClimateCult #SaveOurFarmers #SaveFarming #DoNotComply #DutchFarmers #FarmersAlliance #Agenda2030 #Resist",13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,4b5d0a29,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,9,#ClimateScam,#ClimateAgenda,#ClimateCult,#SaveOurFarmers,#SaveFarming,#DoNotComply,#DutchFarmers,#FarmersAlliance,#Agenda2030,#Resist,,,,,,,,,,,,,,,1673104378889138178,,,,,https://twitter.com/LFJIreland/status/1673104378889138178,true,d997d5c5,en
3381,Thu May 04 22:39:00 +00:00 2023,"?  Central Bank Digital Currencies""?  Digital ID?  2030 Sustainability = Carbon tracking ""ResistCBDC.com #Agenda2030 #Agenda21 #CBDC",20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,11,#Agenda2030,#Agenda21,#CBDC,,,,,,,,,,,,,,,,,,,,,,1654254362175373312,http://www.ResistCBDC.com,,,,https://twitter.com/Resist_CBDC/status/1654254362175373312,true,3f86250d,en
3428,Tue Mar 21 23:30:00 +00:00 2023,"I love the Shirley Temple look. ""Purposeful. Everything they do is made up.   #pedophiles #Agenda2030 #BananaRepublic #OneWorldGovernment""#Agenda47 #MichaelSavage.",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,8c3406f7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#pedophiles,#Agenda2030,#BananaRepublic,#OneWorldGovernment,#Agenda47,#MichaelSavage.,,,,,,,,,,,,,,,,,,,1638322141543256064,,,,,https://twitter.com/CultSlayerOne/status/1638322141543256064,true,e449c944,en
3485,Fri Jul 07 22:05:00 +00:00 2023,"Thank you global warming, cough, climate change, cough! I'm waiting for this sea front multi $million pad to depreciate and almost be worthless because of the rising sea levels, I'll then snap it up. Oh Wait! It seems to keep appreciating in value, how odd #Agenda2030 #WEFpuppets",5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#Agenda2030,#WEFpuppets,,,,,,,,,,,,,,,,,,,,,,,1677438612139388928,,,,,https://twitter.com/CarlBrasky/status/1677438612139388928,true,dfc89a78,en
3595,Tue Feb 21 23:49:00 +00:00 2023,Notice how he didn't mention meat? #Agenda2030,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,f8485587,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1628180084333940738,,,,,https://twitter.com/OrryRobb/status/1628180084333940738,true,e6e7dafc,en
3599,Mon Jul 03 21:43:00 +00:00 2023,???? It's happening!!!  #TheNewWorldOrder #TyrannyIsHere #WEF #Agenda2030,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#TheNewWorldOrder,#TyrannyIsHere,#WEF,#Agenda2030,,,,,,,,,,,,,,,,,,,,,1675983633310445568,,,,,https://twitter.com/JCeltic20222/status/1675983633310445568,true,6b1de90a,en
3646,Sat Jun 17 21:48:00 +00:00 2023,ìYou will own nothing and be happyî #WEF #wefagenda2030 #Agenda2030 #auspol #vicpol,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,24f16ab2,afd32d05,faa8378a,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#WEF,#wefagenda2030,#Agenda2030,#auspol,#vicpol,,,,,,,,,,,,,,,,,,,,1670186780623241216,,,,,https://twitter.com/AustraliaCalli1/status/1670186780623241216,true,dbc79dbc,en
3714,Wed Aug 30 21:29:00 +00:00 2023,"Bev, expose it more @GBNEWS - itís the biggest threat to our freedoms since WW2"" ""#Agenda2030 is a terror threat to a free society - itís ALL bad??",3,3b3a9b4d,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,2,c01b6557,1d7cbb0c,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1696998489698226501,,,,,https://twitter.com/robscape/status/1696998489698226501,true,63d583c9,en
3767,Mon Feb 27 23:25:00 +00:00 2023,"#NewWorldOrder #Agenda2030 """"The world stinks",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,c8f837fa,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#NewWorldOrder,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,1630348413362470917,,,,,https://twitter.com/teachertwit2/status/1630348413362470917,true,074f100b,en
3774,Tue Feb 07 23:43:00 +00:00 2023,"I lost count of how many #conspiracies have come to fruition. This oneís from the #WEF and UN #Agenda2030.""""All the elitists, ëcool kidsí and ëcool kid wannabesí will get right on this to bump up #virtuesignaling and social credit score.  open.substack.com/pub/americÖ",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#conspiracies,#WEF,#Agenda2030.,#virtuesignaling,,,,,,,,,,,,,,,,,,,,,1623105098728542213,https://open.substack.com/pub/americamission/p/2-tons-of-co-per-year-or-pay-up-says?r=1nvo2w&utm_medium=ios&utm_campaign=post,,,,https://twitter.com/KellyJaye/status/1623105098728542213,true,e387c0c4,en
3784,Thu Feb 09 23:39:00 +00:00 2023,"Video is UP: #softpower #utah Why do so many """"""""ideas"""""""" lead you back to #agenda2030 ? | piped.video/Q75FZWIpAEo",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#softpower,#utah,#agenda2030,,,,,,,,,,,,,,,,,,,,,,1623828957991776256,https://piped.video/Q75FZWIpAEo,,,,https://twitter.com/eliciac9/status/1623828957991776256,true,5961f198,en
3789,Sat Apr 22 23:17:00 +00:00 2023,"That is the same reason Trump needs to get back in office to drain the swamp of 'Freemason Satanists' who's mission it is to have a One World Government, this is why they are trafficking people, to break the sovereignty of nations for their UN #Agenda2030",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,a6124eab,3a7b889c,fce21fc2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1649915313473871875,,,,,https://twitter.com/IrelandsPeace/status/1649915313473871875,true,a6124eab,en
3798,Tue May 30 22:51:00 +00:00 2023,Get more people mobilized and attacking legally/lawfully Satanís Jacobin Illuminati leadership in the coming future God. #ResistTheWEF #NWO #WEF #Agenda2030 #DepopulationAgenda #Illuminati #JesusIsLord #MAGA #GodIsGood,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#ResistTheWEF,#NWO,#WEF,#Agenda2030,#DepopulationAgenda,#Illuminati,#JesusIsLord,#MAGA,#GodIsGood,,,,,,,,,,,,,,,,1663679459960995843,,,,,https://twitter.com/JosephPDaniel1/status/1663679459960995843,true,8c31d81f,en
3868,Tue Feb 21 23:38:00 +00:00 2023,"?????? #Agenda2030 #ClimateAction "" The hypocrisy of the globalist elite regarding Climate Change ""@BillGates is comfortable with his """"""""carbon footprint"""""""" because he's rich, we have to eat bugs and get around on foot.",0,c00b7e85,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,#ClimateAction,,,,,,,,,,,,,,,,,,,,,,,1628177274469076994,,,,,https://twitter.com/alexmolinamgt/status/1628177274469076994,true,d202f855,en
3885,Sat Jan 28 23:48:00 +00:00 2023,"#WEF #Agenda2030""#TrudeauMustGoWe didn't elect the WEF and we will not abide by any shady Agreements the Liberal NDP Coalition made with them.#cdnpoli Read all about #Agenda2030, we need these #terrorists to stay the hell away from us. "" stopworldcontrol.com/uneventÖ",68,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,51,#WEF,#Agenda2030,#TrudeauMustGo,#cdnpoli,"#Agenda2030,",#terrorists,,,,,,,,,,,,,,,,,,,1619482460345241600,https://stopworldcontrol.com/unevent/,,,,https://twitter.com/prettypatriotCA/status/1619482460345241600,true,8c0047c8,en
3902,Thu Feb 09 23:17:00 +00:00 2023,Antithesis to #Agenda2030,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1623823375809277953,,,,,https://twitter.com/TakingoutTrash7/status/1623823375809277953,true,7910ecb0,en
3915,Thu Apr 06 23:10:00 +00:00 2023,#ClimateChange #ClimateScam #ClimateHoax #Agenda2030 #NWO #ByDesign #MassFormationPsychosis #EnemyOfThePeople #MediaHypocrisy #ForProfit #AgendaDriven #Propaganda,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,9427a2e8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#ClimateChange,#ClimateScam,#ClimateHoax,#Agenda2030,#NWO,#ByDesign,#MassFormationPsychosis,#EnemyOfThePeople,#MediaHypocrisy,#ForProfit,#AgendaDriven,#Propaganda,,,,,,,,,,,,,1644115423644770307,,,,,https://twitter.com/RdPillsRbtHoles/status/1644115423644770307,true,698825ce,en
3923,Sat Jun 03 22:10:00 +00:00 2023,"Can you retweet this Tweet, @elonmusk, with an emphasis on the real numbers? "" People need to understand the numbers, not be afraid of a little MATH  ""The #ClimateEmergency is the #Agenda2030, that is the real Emergency",1,22b0299b,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#ClimateEmergency,"#Agenda2030,",,,,,,,,,,,,,,,,,,,,,,,1665118676855422976,,,,,https://twitter.com/AilsaForshaw/status/1665118676855422976,true,b569674e,en
3961,Tue May 30 22:43:00 +00:00 2023,"With @antonioguterres, we discussed the shared ambition to revitalise and renew political commitment to #Agenda2030.""†???? stands ready to contribute to closing #SDGs funding gap through  #GlobalGateway.  ""We also touched difficult situations in #Sudan, #Sahel and #Afghanistan.",79,3b1ee8a2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,8,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,24,#Agenda2030.,#SDGs,#GlobalGateway.,"#Sudan,",#Sahel,#Afghanistan.,,,,,,,,,,,,,,,,,,,1663677418752598016,,,,,https://twitter.com/JuttaUrpilainen/status/1663677418752598016,true,ac9bd5d1,en
3986,Sat Aug 12 21:52:00 +00:00 2023,"Klaus Schwab:"" ìIn the new world, you have to accept total transparency. It will become part of your personalityî ìEverything will be transparent. If you have nothing to hide you have no reason to be afraid.î  nitter.net/wideawake_media/Ö #Agenda2030 #wef #klausschwab ""This guy will give you the heebie-jeebies like no other ??",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#Agenda2030,#wef,#klausschwab,,,,,,,,,,,,,,,,,,,,,,1690481321104084992,https://nitter.net/wideawake_media/status/1690301546720890881/video/1,,,,https://twitter.com/TruthOverMedia/status/1690481321104084992,true,696301c4,en
3994,Sun May 28 22:25:00 +00:00 2023,Because presently our country is lead by the UN #agenda2030. Because our establishment politicians committed to the agenda derived by an unelected unaccountable foreign entity.,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,67ebc9fc,9eb72aec,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#agenda2030.,,,,,,,,,,,,,,,,,,,,,,,,1662948162812923905,,,,,https://twitter.com/MarkFriesen08/status/1662948162812923905,true,700e854b,en
4015,Fri Apr 14 22:53:00 +00:00 2023,"#agenda2030 "" Sterilize thru ??Sterilize through castration""Sterilize through ideology",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,83b6e9b6,038b8cb0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1647010253270048769,,,,,https://twitter.com/Kns13942998Kns/status/1647010253270048769,true,8ce7426e,en
4030,Fri Aug 04 21:49:00 +00:00 2023,"They must tear down America in order to rule it.""??#Agenda2030""??",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,cc8fdac2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1687581658923376640,,,,,https://twitter.com/BTCarmstrong/status/1687581658923376640,true,fc38c571,en
4061,Sun Aug 06 22:04:00 +00:00 2023,"But that causes vitriol because nationalism is passÈ and internationalism/globalism is so, oh idk, so #Agenda2030",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,f3ff95e7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1688310116011900928,,,,,https://twitter.com/smallstminority/status/1688310116011900928,true,c2b88420,en
4071,Wed Apr 12 23:07:00 +00:00 2023,"Pastor JD explains how banking the banking crisis may continue and how it relates to Bible prophecy."" Watch the full Prophecy Update: jdfarag.org/bible-prophecy?sÖ ""#banks #financialcollapse #NWO #WEF #Agenda2030 #farmers #food",138,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,3,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,51,#banks,#financialcollapse,#NWO,#WEF,#Agenda2030,#farmers,#food,,,,,,,,,,,,,,,,,,1646288838137098241,https://www.jdfarag.org/bible-prophecy?sapurl=LytkNmtjL2xiL21pLyt3d3IzMjVnP2VtYmVkPXRydWUmcmVjZW50Um91dGU9YXBwLndlYi1hcHAubGlicmFyeS5tZWRpYS1zZXJpZXMmcmVjZW50Um91dGVTbHVnPSUyQjgyeXhwOGY,,,,https://twitter.com/jdfarag/status/1646288838137098241,true,38f3df3f,en
4073,Tue May 30 22:38:00 +00:00 2023,Larry Fink Says BlackRock Inflows Are 100x Anti-ESG Outflows Despite Political Backlash - ESG Today #agenda2030 #wef #blackrock they donít give a fuck what they loose! The government gives them 100x more than the loss! #wakeup  esgtoday.com/larry-fink-saysÖ,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#agenda2030,#wef,#blackrock,#wakeup,,,,,,,,,,,,,,,,,,,,,1663676221798924288,https://www.esgtoday.com/larry-fink-says-blackrock-inflows-are-100x-esg-outflows-despite-political-backlash/,,,,https://twitter.com/PeterMuslija/status/1663676221798924288,true,75f92d07,en
