,created_at,full_text,likes_count,mentioning_users/0,mentioning_users/1,mentioning_users/2,mentioning_users/3,mentioning_users/4,mentioning_users/5,mentioning_users/6,mentioning_users/7,mentioning_users/8,mentioning_users/9,mentioning_users/10,mentioning_users/11,mentioning_users/12,mentioning_users/13,mentioning_users/14,mentioning_users/15,played_count,quotes_count,replies_count,replying_to/0,replying_to/1,replying_to/2,replying_to/3,replying_to/4,replying_to/5,replying_to/6,replying_to/7,replying_to/8,replying_to/9,replying_to/10,replying_to/11,replying_to/12,replying_to/13,replying_to/14,replying_to/15,replying_to/16,replying_to/17,replying_to/18,replying_to/19,replying_to/20,replying_to/21,replying_to/22,replying_to/23,replying_to/24,replying_to/25,replying_to/26,replying_to/27,replying_to/28,replying_to/29,replying_to/30,replying_to/31,replying_to/32,replying_to/33,replying_to/34,replying_to/35,replying_to/36,replying_to/37,replying_to/38,replying_to/39,replying_to/40,replying_to/41,replying_to/42,replying_to/43,replying_to/44,replying_to/45,replying_to/46,replying_to/47,retweeted_by,retweets_count,tweet_hashtags/0,tweet_hashtags/1,tweet_hashtags/2,tweet_hashtags/3,tweet_hashtags/4,tweet_hashtags/5,tweet_hashtags/6,tweet_hashtags/7,tweet_hashtags/8,tweet_hashtags/9,tweet_hashtags/10,tweet_hashtags/11,tweet_hashtags/12,tweet_hashtags/13,tweet_hashtags/14,tweet_hashtags/15,tweet_hashtags/16,tweet_hashtags/17,tweet_hashtags/18,tweet_hashtags/19,tweet_hashtags/20,tweet_hashtags/21,tweet_hashtags/22,tweet_hashtags/23,tweet_id,tweet_links/0,tweet_links/1,tweet_links/2,tweet_links/3,url,user_is_verified,user_name,language
2906,Fri Aug 04 21:58:00 +00:00 2023,"Heís on the same Ruling Class, establishment, WEF team""??#Agenda2030"" ??",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,408a507e,20b85cca,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1687583735498080257,,,,,https://twitter.com/BTCarmstrong/status/1687583735498080257,true,fc38c571,en
2950,Sat Jul 29 22:09:00 +00:00 2023,"They cannot form a totalitarian, @wef, one-world government with a strong United States still in existence. A Biden-Newsom one-two punch should do it.""??""#Agenda2030",0,c6608cd4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,7441a229,cc8fdac2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1685412362524721152,,,,,https://twitter.com/BTCarmstrong/status/1685412362524721152,true,fc38c571,en
2951,Wed Jul 19 22:47:00 +00:00 2023,"""""What to do with all these useless people."""""""""" - Yuval Noah Harari, lead advisor to World Economic Forum Klaus Schwab ""#Depopulation #Agenda2030",13,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,2,4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,18,#Depopulation,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,1681797860550152198,,,,,https://twitter.com/RedpillDrifter/status/1681797860550152198,true,fe20e956,en
3075,Wed Mar 15 23:52:00 +00:00 2023,These people are not joking and their plan is almost complete. Ill say it till Im blue in the faceÖunity is our greatest strength against these satanic globalists. #unity #wakeup #WakeUpAmerica #Agenda2030,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,10,#unity,#wakeup,#WakeUpAmerica,#Agenda2030,,,,,,,,,,,,,,,,,,,,,1636153337543262212,,,,,https://twitter.com/LibertyMutual8/status/1636153337543262212,true,a64a684b,en
3094,Sun Mar 19 23:53:00 +00:00 2023,"Great Thread??????""  W/ TIMELINE of #NAME?- DARPA - Moderna -      ADEPT program- DARPA - EcoHealth -      DIFFUSE program #BioWeapon #LabLeak#CrimesAgainstHumanity #Nuremberg2 #VAERS ""@AGHuff #Agenda2030",0,1a00b117,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,2,#BioWeapon,#LabLeak,#CrimesAgainstHumanity,#Nuremberg2,#VAERS,#Agenda2030,,,,,,,,,,,,,,,,,,,1637603222759276544,,,,,https://twitter.com/LadyRedHawk1111/status/1637603222759276544,true,eeba538f,en
3117,Sat Jul 29 22:03:00 +00:00 2023,"The @wef Ruling Class want him too."" ""#Agenda2030",0,c6608cd4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0d08daab,cc8fdac2,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1685410712632365057,,,,,https://twitter.com/BTCarmstrong/status/1685410712632365057,true,fc38c571,en
3122,Sun Jul 09 22:48:00 +00:00 2023,"Absolutely spot-on! ??"" WEF #Agenda2030 is the biggest threat to the freedom of the West since WW2 - itís a road to an Orwellian hellÖ ""#DoNotComply to letting this unelected cabal steal our world!",1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,c62b5eb7,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,#DoNotComply,,,,,,,,,,,,,,,,,,,,,,,1678174316569952257,,,,,https://twitter.com/robscape/status/1678174316569952257,true,63d583c9,en
3138,Wed Aug 02 22:19:00 +00:00 2023,"TRUTH is a Force of Nature ??? ?????"" JUSTICE may be delayed, but itís still coming???? Will you Stand with The People, or go down as a #Collaborator ? ?? #Unity ?????????????#PeopleOfTheLIE #WEF #Agenda2030#FalseFlag #SDGs ""#C_ABAL #Treason",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,bf4aae2c,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Collaborator,#Unity,#PeopleOfTheLIE,#WEF,#Agenda2030,#FalseFlag,#SDGs,#C_ABAL,#Treason,,,,,,,,,,,,,,,,1686864439038091264,,,,,https://twitter.com/LadyRedHawk1111/status/1686864439038091264,true,eeba538f,en
3164,Tue Aug 08 21:24:00 +00:00 2023,And why is the government paying for this? So crazy #Agenda2030,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,22b0299b,3d35b3d4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,1,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1689024827561316352,,,,,https://twitter.com/AilsaForshaw/status/1689024827561316352,true,b569674e,en
3166,Tue Jun 27 22:28:00 +00:00 2023,"Let's review. Communists, otherwise known as Democrats & Climate Activists, want to, or have taken away:""MeatWood-fired pizzaIce for cocktails Gas stovesAir-conditioning Decent water pressure TravelIncandescent light bulbsJoy #ClimateScam""#Agenda2030",6,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,1,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,4,#ClimateScam,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,1673820670101209090,,,,,https://twitter.com/soylentbeige/status/1673820670101209090,true,37ca553f,en
3185,Thu Mar 23 23:13:00 +00:00 2023,"1) Creating cage union jobs so you can command them to vote for you""2) Climate change #Agenda2030 how to create locked 15.min habitats for humans3) growing middle class sick on sugar, pharma owned fast and unhealthy food industry and vaccines""... More to come.",0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,1,f9875b17,bbfe29dc,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,0,#Agenda2030,,,,,,,,,,,,,,,,,,,,,,,,1639042773327261697,,,,,https://twitter.com/JstAnthrCrysis/status/1639042773327261697,true,68438ec6,en
3228,Tue Jul 11 22:07:00 +00:00 2023,"?? The #GreatReset for #Agenda2030 is not over until we break ESG/CEI and all it's rebranding including """"""""conscientious capitalism.""""""""   #Fink",97,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,54,#GreatReset,#Agenda2030,#Fink,,,,,,,,,,,,,,,,,,,,,,1678888767799857152,,,,,https://twitter.com/Resist_CBDC/status/1678888767799857152,true,3f86250d,en
